feature,importance
arrival_delay_min,0.38517104419602083
connection_time_min,0.18688991254992318
arrival.iata,0.0349903893384509
dep_sched,0.034401240834907684
departure.scheduled,0.03410055266746896
arrival.scheduled,0.033580175880028755
arr_sched,0.033003825919722896
scheduled_flight_min,0.032044217605407654
departure.gate,0.028905943433359896
airline.iata,0.022750621377587203
departure_hour,0.022220688834371793
departure.iata,0.020204435344951605
arrival.terminal,0.019817035561897373
departure.terminal,0.015317531968420868
terminal_transport_method,0.015174547429611867
terminal_walk_time_min,0.012485926236271034
walking_time_min,0.012144559710742969
is_intl_hub,0.01082098049424502
immigration_time_min,0.010774566921205849
transport_friction,0.005484806995607372
is_major_airport,0.004939798905970516
security_crowd,0.0038962600375491404
security_time_min,0.003886799913410708
immigration_crowd,0.0035785507096980436
congestion_time_min,0.0034183787014742052
terminal_change,0.0033631375781061133
is_peak_hour,0.00266461744715732
flight_date,0.0015483378505501996
day_of_week,0.0015149239689084093
is_cross_airport,0.0009061915869716233
has_delay_info,0.0
baggage_time_min,0.0
