feature,importance
arrival_delay_min,0.3884874364556856
connection_time_min,0.19617832838511956
departure.scheduled,0.04215711940608051
arrival.scheduled,0.03930619421094206
arrival.iata,0.03772789271170247
scheduled_flight_min,0.036863976139154514
departure.gate,0.029761568358655083
departure_hour,0.027313235355561242
airline.iata,0.02444764243635621
departure.iata,0.020849661408050543
arrival.terminal,0.02065039776020284
terminal_distance_m,0.016578973145789905
departure.terminal,0.01566688723590193
terminal_transport_method,0.015553574851032623
immigration_time_min,0.012889209197350999
terminal_walk_time_min,0.012689858971305212
walking_time_min,0.011854772411895862
is_intl_hub,0.010657299686320345
transport_friction,0.005472639617281562
is_major_airport,0.004922398373927446
security_time_min,0.004790877222054108
immigration_crowd,0.004703468685983492
security_crowd,0.004000765484595043
congestion_time_min,0.003997630174629993
terminal_change,0.0036224290370584144
is_peak_hour,0.0030301174128566522
day_of_week,0.0025501157502361193
flight_date,0.0018502712325988778
is_cross_airport,0.0014252588816706254
has_delay_info,0.0
baggage_time_min,0.0
